symbol;Latitude;Longitude
PRGO;53,3330574;-6,248888969
PRU;40,73555374;-74,17277527
PSA;33,53861237;-112,1852798
PSA;34,14250183;-118,2541656
PSX;29,7630558;-95,36305237
PVH;40,71416855;-74,0063858
PWR;29,7630558;-95,36305237
PX;41,39472198;-73,45444489
PXD;32,81388855;-96,9486084
PYPL;37,33944321;-121,8938904
QCOM;32,71527863;-117,1563873
QRVO;36,07249832;-79,79222107
R;25,77388954;-80,1938858
RAI;36,09972382;-80,2444458
RCL;25,77388954;-80,1938858
RF;33,5205574;-86,80249786
RHT;35,77194595;-78,6388855
RL;40,71416855;-74,0063858
ROK;43,03888702;-87,90638733
ROP;27,33611107;-82,53083038
ROST;37,66249847;-121,8736115
RRC;32,72527695;-97,32055664
RSG;33,44833374;-112,0733337
RTN;42,37638855;-71,2361145
SBUX;47,60638809;-122,3308334
SCHW;37,77500153;-122,418335
SE;29,7630558;-95,36305237
SHW;41,49944305;-81,69555664
SIG;39,39944458;-84,56138611
SLG;40,71416855;-74,0063858
SNA;42,58472061;-87,82111359
SNI;39,16194534;-84,45694733
SO;33,74888992;-84,38805389
SPG;39,76833344;-86,15805817
SPGI;40,71416855;-74,0063858
SPLS;42,27916718;-71,41666412
SRCL;33,64694595;-117,6883316
SRE;32,71527863;-117,1563873
STI;33,74888992;-84,38805389
STT;42,35833359;-71,06027985
STX;53,3330574;-6,248888969
SWK;41,66110992;-72,77999878
SWN;29,7630558;-95,36305237
SYF;41,05333328;-73,53916931
SYK;42,29166794;-85,58721924
SYMC;37,38611221;-122,0827789
SYY;29,7630558;-95,36305237
T;32,78333282;-96,80000305
TAP;39,73916626;-104,984169
TDG;41,49944305;-81,69555664
TGT;44,97999954;-93,26361084
TIF;40,71416855;-74,0063858
TJX;42,27916718;-71,41666412
TMO;42,37638855;-71,2361145
TRIP;42,33694458;-71,20972443
TROW;39,29027939;-76,61250305
TRV;40,71416855;-74,0063858
TSCO;40,78111267;-73,24666595
TSN;36,1866684;-94,1286087
TSO;29,42388916;-98,49333191
TSS;39,96111298;-82,99888611
TSS;32,4608345;-84,98777771
TWX;40,71416855;-74,0063858
TXN;32,78333282;-96,80000305
TXT;41,82389069;-71,41333008
UA;39,29027939;-76,61250305
UAA;39,29027939;-76,61250305
UAL;41,84999847;-87,65000153
UDR;39,55389023;-104,9688873
ULTA;41,69861221;-88,06833649
UNH;44,91333389;-93,50305939
UNM;35,04555511;-85,3097229
UNP;41,25860977;-95,9375
UPS;33,74888992;-84,38805389
URBN;39,95222092;-75,16416931
URI;41,05333328;-73,53916931
USB;44,97999954;-93,26361084
UTX;41,76361084;-72,6855545
